Molecule ChEMBL ID,Molecule Name,Label,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL125499,,0,None,498.97,1,5.02,9w,O=C(CCc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1F,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL811067,Binding affinity against human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1146806,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL126208,,0,None,466.01,0,4.92,9h,O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)NCC1CCN(c2ccncc2)CC1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL811067,Binding affinity against human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1146806,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL360852,,0,None,469.95,0,3.87,11h,O=C(N[C@H](C(=O)Nc1ccc(N2CCOCC2=O)cc1)c1ccccc1)c1ccc(Cl)s1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL831704,Inhibitory concentration against human thrombin activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1138652,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL420338,,0,None,525.43,1,4.91,9j,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Br)s4)nc3c2)ccc1N1CCOCC1=O,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL811067,Binding affinity against human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1146806,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL309810,,0,None,440.48,0,2.01,16,N=C(N)c1ccc(O)c(OCC(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808161,In vitro inhibitory activity against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1133928,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL124846,,0,None,450.95,1,5.25,9b,O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCCC2=O)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL811067,Binding affinity against human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1146806,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL447391,,0,None,393.83,0,3.52,4,N=C(N)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL998600,Inhibition of thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1153991,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL75453,,0,None,410.43,0,1.68,13,N=C(N)c1cccc(OCC(=O)Nc2ccc(C(=O)N3CCCC3C(=O)O)cc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808161,In vitro inhibitory activity against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1133928,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL361870,,0,None,495.99,0,2.47,11x,COCCOC[C@@H](NC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(N2CCOCC2=O)c(C)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL831704,Inhibitory concentration against human thrombin activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1138652,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL425889,,0,None,479.99,0,3.24,11w,CCCOC[C@@H](NC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(N2CCOCC2=O)c(C)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL831704,Inhibitory concentration against human thrombin activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1138652,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL558039,,0,None,498.48,0,2.8,26,Cl.Cl.N=C(N)N1CCc2ccc(SCC3(C(=O)O)CCN(c4ccncc4)CC3)cc2C1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL877331,Inhibitory concentration against human Coagulation factor II (thrombin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1139513,1,Scientific Literature,J Med Chem,2005,None,,,
CHEMBL333113,,0,None,344.83,0,3.8,3a,CC1CC(=O)NN=C1c1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL811067,Binding affinity against human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1146806,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL122329,,0,None,539.46,2,5.3,9s,Cc1cc(NC(=O)CCc2ccc3[nH]c(-c4ccc(Br)s4)nc3c2)ccc1N1CCOCC1=O,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL811067,Binding affinity against human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1146806,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL352039,,0,None,608.75,2,-1.06,1,N=C(N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)N[C@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,'=',10000,nM,5,,,UO_0000065,8.21,0.17,6.06,1.94,0,CHEMBL882279,In vitro inhibitory activity against serine protease thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1136598,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,,
CHEMBL74199,,0,None,448.5,0,3.71,22,N=C(N)c1cccc(OC(C(=O)Nc2ccc(N3CCOCC3)c(F)c2)c2ccccc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808161,In vitro inhibitory activity against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1133928,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL331231,,0,None,522.05,2,6.2,9a,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL811067,Binding affinity against human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1146806,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL421873,,0,None,395.46,0,1.38,11,CN1CCN(C(=O)c2ccc(NC(=O)COc3cccc(C(=N)N)c3)cc2)CC1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808161,In vitro inhibitory activity against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1133928,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL98858,,0,None,553.64,1,3.49,18,N=C(N)c1cccc(C(=O)N2Cc3ccccc3C[C@H]2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808339,In vitro inhibition of human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1134704,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL21140,,0,None,433.46,0,4.75,8,Cc1cc(C(=O)Nc2ccc(C(=N)N(C)C)cc2F)n(-c2cc3ccccc3cc2F)n1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL813418,Inhibitory activity of compound against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1147598,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL20918,,0,None,449.92,1,5.27,30,Cc1cc(C(=O)Nc2ccc(C(=N)N(C)C)cc2F)n(-c2ccc3cc(Cl)ccc3c2)n1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL813418,Inhibitory activity of compound against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1147598,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL98472,,0,None,527.61,1,3.39,15,N=C(N)c1cccc(C(=O)N[C@@H](C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c2ccccc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808339,In vitro inhibition of human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1134704,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL21052,,0,None,445.47,0,4.56,21,Cc1cc(C(=O)Nc2ccc(C3=NCCN3C)cc2F)n(-c2cc3ccccc3cc2F)n1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL813418,Inhibitory activity of compound against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1147598,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL74808,,0,None,352.39,0,1.83,6,N=C(N)c1cccc(OCC(=O)Nc2ccc(C(=O)N3CCC3)cc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808161,In vitro inhibitory activity against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1133928,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL2093954,,0,None,788.74,2,4.48,15,C[C@@H](NC(=O)Cn1c(CN(C(=O)c2ccc(C(=O)O)cc2)c2ccc(OC3CCN(C(=N)N)CC3)cc2)nc2cc(C(=N)N)ccc21)c1ccccc1.Cl.Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL833047,Inhibitory concentration against Coagulation factor II,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1137163,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL184653,,0,None,449.96,0,3.55,11i,CC(C)C[C@H](NC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(N2CCOCC2=O)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL831704,Inhibitory concentration against human thrombin activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1138652,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL341510,,0,None,441.54,0,4.28,1,N=C(N)c1cccc(N[C@H](C(=O)Nc2ccc(N3CCCCC3=O)cc2)c2ccccc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL811067,Binding affinity against human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1146806,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL2094062,,0,None,788.74,2,4.48,2,C[C@H](NC(=O)Cn1c(CN(C(=O)c2ccc(C(=O)O)cc2)c2ccc(OC3CCN(C(=N)N)CC3)cc2)nc2cc(C(=N)N)ccc21)c1ccccc1.Cl.Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL833047,Inhibitory concentration against Coagulation factor II,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1137163,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL536490,,0,None,766.73,2,4.05,19,Cl.Cl.N=C(N)c1ccc2c(c1)nc(CN(C(=O)c1ccc(C(=O)O)cc1)c1ccc(OC3CCN(C(=N)N)CC3)cc1)n2CC(=O)NC1CCCCC1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL833047,Inhibitory concentration against Coagulation factor II,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1137163,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL421312,,0,None,438.51,0,2.69,18,N=C(N)c1cccc(OCCC(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808161,In vitro inhibitory activity against thrombin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1133928,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL536723,,0,None,640.62,1,4.62,10,CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)NC(C)c3ccccc3)cc2)CC1.Cl.Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL833047,Inhibitory concentration against Coagulation factor II,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1137163,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL151189,,0,None,519.67,1,4.44,13,CC(=N)N1CCC(Oc2ccc(N(Cc3ccccc3-c3ccc(C(=N)N)cc3)S(C)(=O)=O)cc2)CC1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL769316,Inhibition of factor II,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1136571,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,,
CHEMBL361728,,0,None,443.96,0,4.34,11l,CC(C)C[C@@H](NC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(-n2ccccc2=O)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL831704,Inhibitory concentration against human thrombin activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1138652,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL537637,,0,None,531.47,0,0.74,28,Cl.Cl.N=C(N)N1CCc2ccc(S(=O)(=O)NC3(C(=O)O)CCN(c4ccncc4)CC3)cc2C1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL877331,Inhibitory concentration against human Coagulation factor II (thrombin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1139513,1,Scientific Literature,J Med Chem,2005,None,,,
CHEMBL364838,,0,None,451.93,0,2.46,11r (EMD-495235),COC[C@@H](NC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(N2CCOCC2=O)c(C)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL831704,Inhibitory concentration against human thrombin activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1138652,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL541371,,0,None,695.48,2,5.36,9,CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)NCc3ccc(Cl)c(Cl)c3)cc2)CC1.Cl.Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL833047,Inhibitory concentration against Coagulation factor II,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1137163,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL541372,,0,None,856.86,3,5.88,20,Cl.Cl.N=C(N)c1ccc2c(c1)nc(CN(C(=O)c1ccc(C(=O)O)cc1)c1ccc(OC3CCN(C(=N)NCc4ccccc4)CC3)cc1)n2CC(=O)NC1CCCCC1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL833047,Inhibitory concentration against Coagulation factor II,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1137163,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL98306,,0,None,523.57,2,1.89,10,N=C(N)c1cccc(C(=O)N[C@@H](CCC(=O)O)C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL808339,In vitro inhibition of human thrombin.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1134704,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,
CHEMBL364422,,0,None,437.91,0,1.8,11q,Cc1cc(NC(=O)[C@@H](CO)NC(=O)c2ccc(Cl)s2)ccc1N1CCOCC1=O,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL831704,Inhibitory concentration against human thrombin activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1138652,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
CHEMBL536961,,0,None,587.98,0,2.45,22,CCOC(=O)C1(COc2ccc3c(c2)CN(C(=N)N)CC3)CCN(c2ccc(C(=N)N)cc2)CC1.Cl.Cl.Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL877331,Inhibitory concentration against human Coagulation factor II (thrombin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1139513,1,Scientific Literature,J Med Chem,2005,None,,,
CHEMBL184956,,0,None,505.9,1,3.17,11s,COC[C@@H](NC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(N2CCOCC2=O)c(C(F)(F)F)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL831704,Inhibitory concentration against human thrombin activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL204,Thrombin,Homo sapiens,SINGLE PROTEIN,CHEMBL1138652,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,
